prompt,dream,symbols,input,len,input_tokens_len,hash,interpretation
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","I was at this place and everyone from school was there. There was a ghost. Everyone was told to get in the pool because someone was going to kill me. Not everyone got in the pool though. I remember Seamus, Elijah, Dmitri, Rebekah and Alyssa didn't. There was a blackout and I got stabbed and fell into the pool. I didn't die."," - Ghost:  To see a ghost in your dream represents something that is no longer obtainable or within reach. It indicates that you are feeling disconnected from life and society. Try to figure out what the ghost wants or what it is looking for. The dream may also be a calling for you to move on and abandon your outdated modes of thinking and behavior.
 - Haunted:  To dream that you are being haunted indicates early unpleasant traumas and repressed feelings or memories. You are experiencing some fear or guilt about your past activities and thoughts.
 - Haunted House:  To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings.
 - Near Death Experience:  To have a near death experience in your dream implies that you are experience a relapse of sorts. You are reverting back to your old habits and ways. Alternatively, the dream indicates that you are being given a second chance or second try at something.
 - Paranormal:  To dream that objects are moving on its own or that switches and electronics are turning on/off or some other paranormal activity indicates that you are refusing to take responsibility for your actions. The dream is also saying that you tend to let things happen instead of making things happen.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
I was at this place and everyone from school was there. There was a ghost. Everyone was told to get in the pool because someone was going to kill me. Not everyone got in the pool though. I remember Seamus, Elijah, Dmitri, Rebekah and Alyssa didn't. There was a blackout and I got stabbed and fell into the pool. I didn't die.

### Symbols:
- Ghost:  To see a ghost in your dream represents something that is no longer obtainable or within reach. It indicates that you are feeling disconnected from life and society. Try to figure out what the ghost wants or what it is looking for. The dream may also be a calling for you to move on and abandon your outdated modes of thinking and behavior.
 - Haunted:  To dream that you are being haunted indicates early unpleasant traumas and repressed feelings or memories. You are experiencing some fear or guilt about your past activities and thoughts.
 - Haunted House:  To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings.
 - Near Death Experience:  To have a near death experience in your dream implies that you are experience a relapse of sorts. You are reverting back to your old habits and ways. Alternatively, the dream indicates that you are being given a second chance or second try at something.
 - Paranormal:  To dream that objects are moving on its own or that switches and electronics are turning on/off or some other paranormal activity indicates that you are refusing to take responsibility for your actions. The dream is also saying that you tend to let things happen instead of making things happen.

### Interpretation:",1915,435,f9f7da56914b9e120e3494afb44e46ed,"Everyone from school was there. There was a ghost. Everyone was told to get in the pool because someone was going to kill me. Not everyone got in the pool though. I remember Seamus, Elijah, Dmitri, Rebekah and Alyssa didn't get in the pool though. There was a blackout and I got stabbed and fell into the pool. I didn't die."
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","A LT event of some sort, in a small school auditorium - this one is not old, it's pretty much like the ones I went to (say 5th grade). John Boats is talking and I get called away shortly after it starts - I was sitting down front - and don't get back until it's almost over. He's doing Hot Potato, and I'm getting really pissed off because I missed everything. I'm struggling not to blame somebody else. Leaving, we're not going home, though, just to lunch, and I guess we're coming back - we're walking down the hall talking about what to do for lunch."," - Baby Shower:  To dream of a baby shower suggests that you are welcoming a new start. You are given a chance to start over again and do things differently this time around. You have a new found faith in life itself.
 - Banquet:  To dream that you are at a banquet indicates that you are emotionally malnourished. You are seeking emotional stimulation.
 - Cafeteria:  To dream that you are in a cafeteria denotes that there may be a lot of issues 'eating' you up inside.
 - Party:  To dream that you are at a party suggests that you need to get out more and enjoy yourself. If the party is a bad one, then it indicates that you are unsure of your social skills. If you dream that you are at your own birthday party, then it represents appreciation for the life you have.
 - Wedding Rehearsal:  To dream that you are in a wedding rehearsal implies that you need to prepare yourself for an important transition in your life.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
A LT event of some sort, in a small school auditorium - this one is not old, it's pretty much like the ones I went to (say 5th grade). John Boats is talking and I get called away shortly after it starts - I was sitting down front - and don't get back until it's almost over. He's doing Hot Potato, and I'm getting really pissed off because I missed everything. I'm struggling not to blame somebody else. Leaving, we're not going home, though, just to lunch, and I guess we're coming back - we're walking down the hall talking about what to do for lunch.

### Symbols:
- Baby Shower:  To dream of a baby shower suggests that you are welcoming a new start. You are given a chance to start over again and do things differently this time around. You have a new found faith in life itself.
 - Banquet:  To dream that you are at a banquet indicates that you are emotionally malnourished. You are seeking emotional stimulation.
 - Cafeteria:  To dream that you are in a cafeteria denotes that there may be a lot of issues 'eating' you up inside.
 - Party:  To dream that you are at a party suggests that you need to get out more and enjoy yourself. If the party is a bad one, then it indicates that you are unsure of your social skills. If you dream that you are at your own birthday party, then it represents appreciation for the life you have.
 - Wedding Rehearsal:  To dream that you are in a wedding rehearsal implies that you need to prepare yourself for an important transition in your life.

### Interpretation:",1748,435,fc60c851f0767291ea98c17f07b25e5f,"LT event of some sort, in a small school auditorium. John Boats is talking and I get called away shortly after it starts - I was sitting down front - and don't get back until it's almost over. He's doing Hot Potato, and I'm getting really pissed off because I missed everything. I'm struggling not to blame somebody else. Leaving, we're not going home, though, just to lunch, and I guess we're coming back - we're walking down the hall talking about what to do for lunch."
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ",Looking across I see mother in a window whipping M. I can see her bare nates plainly with a little white cloth and see the ruler crossing them exactly. In the background are three small boys. I feel satisfaction at sight but think M. is rather old for whipping since he's 17.," - Baby Carriage:  To see a baby carriage in your dream symbolizes your desire for a family or longing for a baby. If the baby carriage is empty, then it indicates sadness or an unfulfilled goal. Alternatively, it suggests that you need to cater to the needs of your own inner child.
 - Carriage:  To see an old-fashioned carriage in your dream suggests that your ways of thinking may be too outdated and antiquated. The carriage is also a symbol of power and status.
 - Handcuffs:  To dream that you are in handcuffs suggest that something or someone is holding back your success. Opportunities are shut off to you. You are experiencing a loss of power and effectiveness. Alternatively, your own fears and doubts may be holding you back.
 - M&M:  To see or eat M&M's in your dream symbolizes life's small, but sweet rewards. More directly, M&M may represent the initials of two people in your waking life.
 - Tame:  To dream that you are taming an animal symbolizes your control over your animalistic urges. You are experiencing balance and harmony. To dream that you are being tamed indicates that you need to exercise better control in your life. Show more restraint. Alternatively, the dream may mean that you are accepting aspects of yourself that you had previously rejected.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
Looking across I see mother in a window whipping M. I can see her bare nates plainly with a little white cloth and see the ruler crossing them exactly. In the background are three small boys. I feel satisfaction at sight but think M. is rather old for whipping since he's 17.

### Symbols:
- Baby Carriage:  To see a baby carriage in your dream symbolizes your desire for a family or longing for a baby. If the baby carriage is empty, then it indicates sadness or an unfulfilled goal. Alternatively, it suggests that you need to cater to the needs of your own inner child.
 - Carriage:  To see an old-fashioned carriage in your dream suggests that your ways of thinking may be too outdated and antiquated. The carriage is also a symbol of power and status.
 - Handcuffs:  To dream that you are in handcuffs suggest that something or someone is holding back your success. Opportunities are shut off to you. You are experiencing a loss of power and effectiveness. Alternatively, your own fears and doubts may be holding you back.
 - M&M:  To see or eat M&M's in your dream symbolizes life's small, but sweet rewards. More directly, M&M may represent the initials of two people in your waking life.
 - Tame:  To dream that you are taming an animal symbolizes your control over your animalistic urges. You are experiencing balance and harmony. To dream that you are being tamed indicates that you need to exercise better control in your life. Show more restraint. Alternatively, the dream may mean that you are accepting aspects of yourself that you had previously rejected.

### Interpretation:",1828,435,b81ca8160cd26fe441ea6a6bf7c95f0b,A mother is whipping her son.
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ",I was lacing my shoes and my shoestrings were about 2 feet too long. I was trying to fix a broken electric wire on a post outside because I was afraid the kids would get shocked or electrocuted by playing with the wire. I touched the two wires and the electric was not on. I saw Boyage picked 1st in the selections.," - Barbed Wire:  To see barbed wire in your dream represents difficulty in breaking through or getting your point across to someone.
 - Electric Fence:  To see an electric fence in your dream indicates that anger has caused you to isolate yourself from everyone else. Or it may be that others may be afraid to approach you because of your highly charged personality.
 - Electricity:  To dream of electricity symbolizes vigor and life energy. You need to be revitalized. Alternatively, the dream suggests that you need to conserve your energy.
 - Electricity Tower:  To see an electricity tower in your dream symbolizes a distribution of power. You do not need to always be in full control. You need to delegate responsibilities and duties. Alternatively, the dream symbolizes industry and modernity.
 - Feet:  To see your own feet in your dream symbolizes your foundation, stability and sense of understanding. It signifies your need to be more practical and sensible. Keep both feet on the ground. Alternatively, feet represents mobility, independence and freedom. Perhaps you have taken a step in the right direction and are contemplating your goals or your next step. The sole of the foot may be a pun of being or feeling like the 'sole' or only support of some person or situation. Consider also the idiom of 'putting your foot in your mouth'.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
I was lacing my shoes and my shoestrings were about 2 feet too long. I was trying to fix a broken electric wire on a post outside because I was afraid the kids would get shocked or electrocuted by playing with the wire. I touched the two wires and the electric was not on. I saw Boyage picked 1st in the selections.

### Symbols:
- Barbed Wire:  To see barbed wire in your dream represents difficulty in breaking through or getting your point across to someone.
 - Electric Fence:  To see an electric fence in your dream indicates that anger has caused you to isolate yourself from everyone else. Or it may be that others may be afraid to approach you because of your highly charged personality.
 - Electricity:  To dream of electricity symbolizes vigor and life energy. You need to be revitalized. Alternatively, the dream suggests that you need to conserve your energy.
 - Electricity Tower:  To see an electricity tower in your dream symbolizes a distribution of power. You do not need to always be in full control. You need to delegate responsibilities and duties. Alternatively, the dream symbolizes industry and modernity.
 - Feet:  To see your own feet in your dream symbolizes your foundation, stability and sense of understanding. It signifies your need to be more practical and sensible. Keep both feet on the ground. Alternatively, feet represents mobility, independence and freedom. Perhaps you have taken a step in the right direction and are contemplating your goals or your next step. The sole of the foot may be a pun of being or feeling like the 'sole' or only support of some person or situation. Consider also the idiom of 'putting your foot in your mouth'.

### Interpretation:",1934,435,58235ca99f056da23d5f1de306a2560f,The dreamer is lacing his shoes and his shoestrings are about 2 feet too long. He is trying to fix a broken electric wire on a post outside because he is afraid the kids would get shocked or electrocuted by playing with the wire. He touched the two wires and the electric was not on. He saw Boyage picked 1st in the selections.
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","I was playing soccer on a huge field, and the daylight was getting dim.  One player on my side was a Latin American guy.  He threw the ball to the other team to start the game, and I was amazed at how high and far he was able to throw it."," - Ball:  To see or play with a ball in your dream symbolizes completeness and wholeness. It may also indicate that you need to be more in tune with the inner child within. The dream may also be a metaphor for the testicles. Consider also the phrase, 'he's got balls' to indicate guts and strength.
 - Fainting:  To dream that you are fainting suggests your inability to confront some subconscious issues or feelings. You need to be more aware and acknowledge those feelings.
 - Handball:  To watch or play team handball in your dream refers to the importance of teamwork and cooperation in order to achieve the goals in your waking life. The dream is a reminder that you cannot succeed without the assistance of others. Alternatively, the dream may be telling you that you need to be more hands on in some project.
 - Near Death Experience:  To have a near death experience in your dream implies that you are experience a relapse of sorts. You are reverting back to your old habits and ways. Alternatively, the dream indicates that you are being given a second chance or second try at something.
 - Umpire:  To see an umpire in your dream suggests that you are playing unfairly in some waking situation. You have crossed some boundary. If the umpires calls you out, then it signifies self-guilt. Your conscience is in inner turmoil.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
I was playing soccer on a huge field, and the daylight was getting dim.  One player on my side was a Latin American guy.  He threw the ball to the other team to start the game, and I was amazed at how high and far he was able to throw it.

### Symbols:
- Ball:  To see or play with a ball in your dream symbolizes completeness and wholeness. It may also indicate that you need to be more in tune with the inner child within. The dream may also be a metaphor for the testicles. Consider also the phrase, 'he's got balls' to indicate guts and strength.
 - Fainting:  To dream that you are fainting suggests your inability to confront some subconscious issues or feelings. You need to be more aware and acknowledge those feelings.
 - Handball:  To watch or play team handball in your dream refers to the importance of teamwork and cooperation in order to achieve the goals in your waking life. The dream is a reminder that you cannot succeed without the assistance of others. Alternatively, the dream may be telling you that you need to be more hands on in some project.
 - Near Death Experience:  To have a near death experience in your dream implies that you are experience a relapse of sorts. You are reverting back to your old habits and ways. Alternatively, the dream indicates that you are being given a second chance or second try at something.
 - Umpire:  To see an umpire in your dream suggests that you are playing unfairly in some waking situation. You have crossed some boundary. If the umpires calls you out, then it signifies self-guilt. Your conscience is in inner turmoil.

### Interpretation:",1843,435,dfc06375c6a3a81415e6a2996ed97dfe,The dreamer is playing soccer on a huge field.
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","(03/12/97)[""Waiting.""] I am waiting for Patricia to do something and the time is long. I lie down on a bed and a small boy, maybe about 10 years old, maybe 12, comes up on the bed and is waiting with me. We play some game for awhile and it is boring waiting so long."," - Date:  To dream that you are on a date represents your need for self-discovery and self-awareness. You are getting to know some hidden aspects of yourself and acknowledging your hidden talents. Alternatively, it may reflect your anxieties about dating or finding acceptance. The dream may also be a 'rehearsal' for an actual date you have. It serves to overcome anxieties you may have.
 - Fiancé:  To see your fiancé in your dream symbolizes your waking relationship with him or her. Often dreams focus on suppressed feelings that you have yet to express to your fiancé.
 - Hanging:  To watch a hanging in your dream represents feelings of insecurity. The hanging may symbolize aspects of yourself that you want to eliminate.
 - Nap:  To dream that you are taking a nap suggests that you need to take a little time off to relax and take it easy. Give yourself a break.
 - Waiting:  To dream that you are waiting is indicative of issues of power/control and feelings of dependence/independence, especially in a relationship. Consider how you feel in the dream while you were waiting. If you are patient, then you know things will happen at their own pace. If you are impatient, then it means that you are being too demanding or that your expectations are too high.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
(03/12/97)[""Waiting.""] I am waiting for Patricia to do something and the time is long. I lie down on a bed and a small boy, maybe about 10 years old, maybe 12, comes up on the bed and is waiting with me. We play some game for awhile and it is boring waiting so long.

### Symbols:
- Date:  To dream that you are on a date represents your need for self-discovery and self-awareness. You are getting to know some hidden aspects of yourself and acknowledging your hidden talents. Alternatively, it may reflect your anxieties about dating or finding acceptance. The dream may also be a 'rehearsal' for an actual date you have. It serves to overcome anxieties you may have.
 - Fiancé:  To see your fiancé in your dream symbolizes your waking relationship with him or her. Often dreams focus on suppressed feelings that you have yet to express to your fiancé.
 - Hanging:  To watch a hanging in your dream represents feelings of insecurity. The hanging may symbolize aspects of yourself that you want to eliminate.
 - Nap:  To dream that you are taking a nap suggests that you need to take a little time off to relax and take it easy. Give yourself a break.
 - Waiting:  To dream that you are waiting is indicative of issues of power/control and feelings of dependence/independence, especially in a relationship. Consider how you feel in the dream while you were waiting. If you are patient, then you know things will happen at their own pace. If you are impatient, then it means that you are being too demanding or that your expectations are too high.

### Interpretation:",1804,435,7be254221c48175fc047316d9bb35931,"I am waiting for Patricia to do something and the time is long. I lie down on a bed and a small boy, maybe about 10 years old, maybe 12, comes up on the bed and is waiting with me. We play some game for awhile and it is boring waiting so long."
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ",I laughed at a joke in the paper and my friend asked what I was laughing at. I asked her if she'd like the paper when I was thru. I had a pile of papers before me and offered her the latest to read while I continued reading them in order from the oldest.," - Journal:  To write or read a journal in your dream suggests that you are trying to change or rewrite the past in order to suit your own needs. Consider what is written in the journal and how it is similar or dissimilar to actual events in your waking life. Alternatively, the dream symbolizes some memory or event.
 - Laughing:  To hear laughing or dream that you are laughing suggests that you need to lighten up and let go of your problems. Don't put so much pressure on yourself. Laughing is also a sign of joyous release and pleasure. If you are being laughed at, then it indicates your insecurities and fears of not being accepted.
 - Manuscript:  To dream that you are writing a manuscript represents your hopes, dreams, goals and desires. You may be harboring some fear that you are not able to accomplish your goals. To dream that your manuscript is rejected by a publisher refers to some temporary setbacks.
 - Paper:  To see blank white paper in your dream signifies your desire to make a fresh start in your life. You need to express yourself through writing or art. Alternatively, blank paper indicates that you need to work on being more communicative.
 - Reading:  To dream that you are reading indicates that you need to obtain more information and knowledge before making a decision. You need to think things through and consider all your options. Real Estate *Please see Property.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
I laughed at a joke in the paper and my friend asked what I was laughing at. I asked her if she'd like the paper when I was thru. I had a pile of papers before me and offered her the latest to read while I continued reading them in order from the oldest.

### Symbols:
- Journal:  To write or read a journal in your dream suggests that you are trying to change or rewrite the past in order to suit your own needs. Consider what is written in the journal and how it is similar or dissimilar to actual events in your waking life. Alternatively, the dream symbolizes some memory or event.
 - Laughing:  To hear laughing or dream that you are laughing suggests that you need to lighten up and let go of your problems. Don't put so much pressure on yourself. Laughing is also a sign of joyous release and pleasure. If you are being laughed at, then it indicates your insecurities and fears of not being accepted.
 - Manuscript:  To dream that you are writing a manuscript represents your hopes, dreams, goals and desires. You may be harboring some fear that you are not able to accomplish your goals. To dream that your manuscript is rejected by a publisher refers to some temporary setbacks.
 - Paper:  To see blank white paper in your dream signifies your desire to make a fresh start in your life. You need to express yourself through writing or art. Alternatively, blank paper indicates that you need to work on being more communicative.
 - Reading:  To dream that you are reading indicates that you need to obtain more information and knowledge before making a decision. You need to think things through and consider all your options. Real Estate *Please see Property.

### Interpretation:",1926,435,53020de6d669880902107cc3f3f07ce1,"Laughing is a sign of joyous release and pleasure. If you are being laughed at, then it indicates your insecurities and fears of not being accepted."
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","This time I dreamed I was where they were filming a movie. The hills were green with little yellow flowers and at the bottom there was a lake of which half was built like a swimming pool and the other wasn't. One had very clear water and the other didn't. A boy and a girl were playing their roles, but then a fight got started and we all ended up fighting with some intruders."," - Haunted:  To dream that you are being haunted indicates early unpleasant traumas and repressed feelings or memories. You are experiencing some fear or guilt about your past activities and thoughts.
 - Haunted House:  To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings.
 - Lagoon:  To see a lagoon in your dream signifies some misunderstanding and doubt in what you are saying. Alternatively, it symbolizes stagnant emotions.
 - Lake:  To see a lake in your dream signifies your emotional state of mind. You feel restricted and that you can't express your emotions freely. Alternatively, the lake may provide you with solace, security, and peace of mind. If the lake is clear and calm, then it symbolizes your inner peace. If the lake is disturbed, then you may be going through some emotional turmoil.
 - Landslide:  To see a landslide in your dream represents emotions that you have been holding back for a long time. You are on the verge of emotional overload. Your emotions are erupting in an unexpected or violent way. The dream may also symbolize the stresses in your life and all the responsibilities that rest on your shoulders.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
This time I dreamed I was where they were filming a movie. The hills were green with little yellow flowers and at the bottom there was a lake of which half was built like a swimming pool and the other wasn't. One had very clear water and the other didn't. A boy and a girl were playing their roles, but then a fight got started and we all ended up fighting with some intruders.

### Symbols:
- Haunted:  To dream that you are being haunted indicates early unpleasant traumas and repressed feelings or memories. You are experiencing some fear or guilt about your past activities and thoughts.
 - Haunted House:  To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings.
 - Lagoon:  To see a lagoon in your dream signifies some misunderstanding and doubt in what you are saying. Alternatively, it symbolizes stagnant emotions.
 - Lake:  To see a lake in your dream signifies your emotional state of mind. You feel restricted and that you can't express your emotions freely. Alternatively, the lake may provide you with solace, security, and peace of mind. If the lake is clear and calm, then it symbolizes your inner peace. If the lake is disturbed, then you may be going through some emotional turmoil.
 - Landslide:  To see a landslide in your dream represents emotions that you have been holding back for a long time. You are on the verge of emotional overload. Your emotions are erupting in an unexpected or violent way. The dream may also symbolize the stresses in your life and all the responsibilities that rest on your shoulders.

### Interpretation:",1889,435,d874a87bcf0edca8a0ca6b2ec2282d31,Haunted House
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","I was driving through Coconut Grove to my apartment when I noticed a large apt. building about a block away from my place. It looked somewhat like the Coconut Grove Bank building. The thought occurred to me that three acquaintances from school, who I knew roomed together might be living there. Suddenly I was walking through the hall of the building and found their apartment. [surprised, neither p or unp. No color]"," - Haunted House:  To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings.
 - Landlord:  To see your landlord in your dream represents the part of yourself that is always in control. It refers to your rational and responsible side. Perhaps you need to show more restraint and control in certain areas of your psyche.
 - Mansion:  To see a mansion in your dream symbolizes your greatest potential and growth. You may feel that your current situation or relationship is in a rut. Dreaming of a mansion in the sky signifies your lofty goals. The dream may also mean that you feel you are above everyone else to the point where you want to isolate yourself. Manslaughter *Please See Murder.
 - Neighborhood:  To dream about your neighborhood represents a sense of community. You need to develop new friends and new ties. Consider your waking feelings toward your neighbors.
 - Tenant:  To dream that you are a tenant indicates a lack of responsibility for the way you are living. The dream may also be a metaphor that you are overstepping someone else's boundaries. To dream that you have a tenant suggests that you are ready for a committed relationship.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
I was driving through Coconut Grove to my apartment when I noticed a large apt. building about a block away from my place. It looked somewhat like the Coconut Grove Bank building. The thought occurred to me that three acquaintances from school, who I knew roomed together might be living there. Suddenly I was walking through the hall of the building and found their apartment. [surprised, neither p or unp. No color]

### Symbols:
- Haunted House:  To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings.
 - Landlord:  To see your landlord in your dream represents the part of yourself that is always in control. It refers to your rational and responsible side. Perhaps you need to show more restraint and control in certain areas of your psyche.
 - Mansion:  To see a mansion in your dream symbolizes your greatest potential and growth. You may feel that your current situation or relationship is in a rut. Dreaming of a mansion in the sky signifies your lofty goals. The dream may also mean that you feel you are above everyone else to the point where you want to isolate yourself. Manslaughter *Please See Murder.
 - Neighborhood:  To dream about your neighborhood represents a sense of community. You need to develop new friends and new ties. Consider your waking feelings toward your neighbors.
 - Tenant:  To dream that you are a tenant indicates a lack of responsibility for the way you are living. The dream may also be a metaphor that you are overstepping someone else's boundaries. To dream that you have a tenant suggests that you are ready for a committed relationship.

### Interpretation:",1938,435,668445ced31db232120d6527b0d6cbd2,A large apartment building is located in a neighborhood. The three people I saw in the dream were my school friends.
"Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream. ","I was speaking to Kathy Reynault at night in front of her house (but not her real house).  Her mother was nearby, and I either realized she knew who I was or Kathy actually introduced us, and she didn't seem at all antagonistic as I expected-nor did she seem particularly friendly."," - Acquaintance:  To see an acquaintance in your dream represents aspects of yourself that you are still trying to get to know.
 - Ghost:  To see a ghost in your dream represents something that is no longer obtainable or within reach. It indicates that you are feeling disconnected from life and society. Try to figure out what the ghost wants or what it is looking for. The dream may also be a calling for you to move on and abandon your outdated modes of thinking and behavior.
 - Haunted House:  To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings.
 - Manners:  To dream that you have good manners indicates restraint. You need to model this behavior in your waking life. To dream that you have bad manners symbolizes your lack of respect for someone or some matter in your waking life.
 - Talking:  To dream that you are talking does not have any significance unless it is unusual or bizarre. What are you saying specifically. Consider also if what you say evoke strong feelings or behavioral reactions. The dream may simply be highlighting your need improve your communication skills or learn to express yourself more clearly. If you dream that you cannot talk or have difficulties speaking, then it means that you are not expressing yourself effectively. Perhaps you feel that your opinion or words mean nothing to others.","### Instruction:
Given dream description, interpret the meaning of the dream.  Provided also are the dream symbols that appear in the dream and their meanings.  Use the dream symbols meanings to help you interpret the dream.

### Dream:
I was speaking to Kathy Reynault at night in front of her house (but not her real house).  Her mother was nearby, and I either realized she knew who I was or Kathy actually introduced us, and she didn't seem at all antagonistic as I expected-nor did she seem particularly friendly.

### Symbols:
- Acquaintance:  To see an acquaintance in your dream represents aspects of yourself that you are still trying to get to know.
 - Ghost:  To see a ghost in your dream represents something that is no longer obtainable or within reach. It indicates that you are feeling disconnected from life and society. Try to figure out what the ghost wants or what it is looking for. The dream may also be a calling for you to move on and abandon your outdated modes of thinking and behavior.
 - Haunted House:  To dream of a haunted house signifies unfinished emotional business related to your childhood family, dead relatives, or repressed memories and feelings.
 - Manners:  To dream that you have good manners indicates restraint. You need to model this behavior in your waking life. To dream that you have bad manners symbolizes your lack of respect for someone or some matter in your waking life.
 - Talking:  To dream that you are talking does not have any significance unless it is unusual or bizarre. What are you saying specifically. Consider also if what you say evoke strong feelings or behavioral reactions. The dream may simply be highlighting your need improve your communication skills or learn to express yourself more clearly. If you dream that you cannot talk or have difficulties speaking, then it means that you are not expressing yourself effectively. Perhaps you feel that your opinion or words mean nothing to others.

### Interpretation:",1982,435,17f839248cf2dd3298365360791ac224,Kathy Reynault is a ghost.
